Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Life Ball
2025-06-09,7,39,31,36,44,1
2025-06-05,42,14,12,19,1,2
2025-06-02,41,36,42,46,23,4
2025-05-29,11,22,21,41,27,5
2025-05-26,40,27,7,13,33,4
2025-05-22,19,6,34,15,9,3
2025-05-19,18,14,28,46,23,9
2025-05-15,27,42,45,46,3,6
2025-05-12,14,19,32,23,12,5
2025-05-08,31,38,7,42,6,6
2025-05-05,24,27,21,36,20,5
2025-05-01,35,8,25,20,40,4
2025-04-28,41,38,7,37,18,1
2025-04-24,12,37,21,33,29,7
2025-04-21,15,34,25,33,36,8
2025-04-17,43,21,2,32,5,7
2025-04-14,15,43,5,44,14,1
2025-04-10,23,41,21,22,38,5
2025-04-07,27,30,15,26,31,10
2025-04-03,31,42,4,17,9,9
2025-03-31,37,40,7,39,47,1
2025-03-27,25,24,45,5,39,5
2025-03-24,4,41,3,18,6,8
2025-03-20,16,22,35,1,15,4
2025-03-17,31,34,1,44,28,5
2025-03-13,38,31,23,21,8,3
2025-03-10,14,36,5,24,41,10
2025-03-06,6,21,15,47,30,2
2025-03-03,35,22,25,47,28,4
2025-02-27,10,18,34,36,27,3
2025-02-24,15,29,3,19,10,6
2025-02-20,5,37,26,21,8,1
2025-02-17,16,26,41,25,34,3
2025-02-13,41,24,44,19,10,4
2025-02-10,10,39,1,14,34,6
2025-02-06,33,6,35,25,26,1
2025-02-03,34,3,39,13,23,4
2025-01-30,42,8,33,17,12,7
2025-01-27,5,19,21,16,36,8
2025-01-23,11,45,22,32,21,6
2025-01-20,32,3,2,35,36,9
2025-01-16,9,15,33,44,12,10
2025-01-13,11,36,43,37,16,9
2025-01-09,13,11,45,14,10,3
2025-01-06,26,21,38,31,10,9
2025-01-02,28,44,8,27,12,9
2024-12-30,28,35,13,8,29,10
2024-12-26,29,11,9,24,36,6
2024-12-23,28,2,19,23,18,3
2024-12-19,4,38,41,7,20,5
2024-12-16,16,6,23,30,28,7
2024-12-12,43,30,42,22,13,5
2024-12-09,22,8,40,5,21,10
2024-12-05,45,12,11,36,10,8
2024-12-02,25,37,34,31,3,6
2024-11-28,19,28,24,39,32,9
2024-11-25,29,38,31,34,18,1
2024-11-21,3,35,12,43,13,1
2024-11-18,10,19,2,8,24,9
2024-11-14,1,17,39,30,3,5
2024-11-11,24,9,31,1,36,8
2024-11-07,26,7,23,9,10,1
2024-11-04,44,14,22,5,33,5
2024-10-31,24,15,37,18,9,7
2024-10-28,43,39,47,12,15,5
2024-10-24,45,37,11,29,2,6
2024-10-21,38,19,8,32,15,9
2024-10-17,17,32,12,27,43,3
2024-10-14,3,32,34,15,28,5
2024-10-10,18,7,13,20,31,8
2024-10-07,23,17,22,18,29,7
2024-10-03,35,43,33,34,22,10
2024-09-30,14,36,21,6,24,1
2024-09-26,41,32,33,27,47,4
2024-09-23,30,43,18,12,35,6
2024-09-19,46,30,6,5,47,5
2024-09-16,17,13,12,30,15,10
2024-09-12,4,1,39,38,23,3
2024-09-09,32,4,6,45,35,6
2024-09-05,23,5,32,44,3,8
2024-09-02,9,3,31,21,22,10
2024-08-29,8,43,4,25,21,9
2024-08-26,37,41,33,29,2,9
2024-08-22,33,39,15,30,32,4
2024-08-19,33,43,35,42,23,6
2024-08-15,11,25,34,47,26,8
2024-08-12,42,46,43,27,20,9
2024-08-08,40,6,17,10,24,8
2024-08-05,31,38,23,47,8,9
2024-08-01,2,6,34,18,24,2
2024-07-29,8,6,24,11,45,2
2024-07-25,33,7,25,20,30,3
2024-07-22,32,3,26,1,9,1
2024-07-18,27,7,5,46,38,8
2024-07-15,10,47,2,29,6,3
2024-07-11,21,11,15,7,32,6
2024-07-08,45,35,44,11,34,10
2024-07-04,19,34,5,14,10,8
2024-07-01,4,8,34,19,6,9
2024-06-27,33,15,32,27,8,5
2024-06-24,32,33,45,43,20,10
2024-06-20,27,24,38,18,10,5
2024-06-17,22,41,23,36,6,6
2024-06-13,10,38,19,24,16,3
2024-06-10,32,31,42,28,30,10
2024-06-06,31,29,24,3,41,6
2024-06-03,2,38,19,11,15,8
2024-05-30,5,11,26,25,12,7
2024-05-27,13,4,28,7,34,3
2024-05-23,20,40,43,14,31,9
2024-05-20,41,25,9,32,10,8
2024-05-16,26,21,4,12,16,3
2024-05-13,10,19,23,5,44,10
2024-05-09,14,27,35,1,17,9
2024-05-06,44,11,26,33,15,10
2024-05-02,14,45,35,5,10,4
2024-04-29,40,22,6,18,29,9
2024-04-25,46,43,47,3,27,2
2024-04-22,46,17,39,26,1,6
2024-04-18,18,35,6,26,41,5
2024-04-15,1,21,27,3,22,10
2024-04-11,11,13,19,42,27,8
2024-04-08,36,43,3,5,6,1
2024-04-04,17,41,2,16,9,3
2024-04-01,35,44,40,30,19,2
2024-03-28,5,19,41,10,26,4
2024-03-25,23,11,24,26,35,2
2024-03-21,18,14,4,11,3,7
2024-03-18,19,11,2,38,43,6
2024-03-14,4,11,34,22,25,6
2024-03-11,44,30,12,35,21,9
2024-03-07,34,42,11,32,29,9
2024-03-04,15,38,30,25,7,9
2024-02-29,28,29,4,45,6,4
2024-02-26,24,3,21,10,39,2
2024-02-22,38,16,23,17,19,5
2024-02-19,11,36,46,7,12,9
2024-02-15,25,5,42,11,30,6
2024-02-12,27,20,36,29,6,8
2024-02-08,26,19,13,37,43,5
2024-02-05,10,8,3,28,4,1
2024-02-01,29,7,3,11,23,7
2024-01-29,46,29,40,35,7,8
2024-01-25,20,36,44,23,7,4
2024-01-22,34,23,27,6,26,2
2024-01-18,22,15,44,9,40,5
2024-01-15,21,4,14,35,36,5
2024-01-11,15,16,35,42,23,1
2024-01-08,39,19,37,31,40,4
2024-01-04,39,12,46,14,26,4
2024-01-01,1,20,26,38,36,6
2023-12-28,13,36,35,14,41,9
2023-12-25,2,15,41,47,21,2
2023-12-21,17,8,18,4,21,6
2023-12-18,1,32,47,13,18,1
2023-12-14,21,44,12,13,16,10
2023-12-11,20,14,12,41,28,9
2023-12-07,3,37,45,2,39,1
2023-12-04,11,16,4,46,47,1
2023-11-30,46,43,40,42,5,4
2023-11-27,10,37,12,47,35,1
2023-11-23,41,10,35,19,14,1
2023-11-20,6,46,9,22,11,5
2023-11-16,18,40,30,12,41,8
2023-11-13,33,3,11,38,45,10
2023-11-09,36,9,47,11,27,9
2023-11-06,2,11,27,15,5,10
2023-11-02,20,12,41,42,46,8
2023-10-30,19,18,6,13,12,7
2023-10-26,11,43,2,23,46,10
2023-10-23,30,35,38,11,34,1
2023-10-19,38,41,44,14,12,5
2023-10-16,30,43,35,13,33,6
2023-10-12,46,44,41,9,19,4
2023-10-09,6,40,29,44,11,5
2023-10-05,18,39,5,45,6,3
2023-10-02,14,26,7,15,1,2
2023-09-28,37,23,18,29,28,3
2023-09-25,15,12,6,13,41,9
2023-09-21,40,7,24,17,23,1
2023-09-18,43,3,1,28,11,9
2023-09-14,33,34,8,27,44,5
2023-09-11,35,14,24,4,5,3
2023-09-07,26,9,42,3,21,6
